@timestamp,method,req_path,domain,rsp_code,rsp_code_details,src_ip,total_duration_seconds,rsp_size,country,response_flags
2026-03-09T17:02:16.720Z,GET,/english/Operations/Ras-Laffan-Helium,www.qatarenergylng.qa,200,via_upstream,138.91.30.52,,42507,JP,
2026-03-09T21:02:21.439Z,GET,/english/MediaCenter/pageindex987/58/QatargasÃÂ¢Ãâ¬Ãâ¢-Operations-Group-completes-two-years-and-30-million-man-hours-without-LTI,www.qatarenergylng.qa,200,via_upstream,114.119.145.22,,178407,SG,
2026-03-09T21:02:05.773Z,GET,/Portals/0/ThemePluginPro/uploads/2024/4/17/LNGimage61 (2).jpg,www.qatarenergylng.qa,200,via_upstream,176.202.12.104,,79678,QA,
2026-03-09T21:01:57.104Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,142.202.51.34,,110973,GB,
2026-03-09T21:01:56.030Z,GET,/,www.qatarenergylng.qa,301,via_upstream,142.202.51.34,,1780,GB,
2026-03-09T21:01:54.588Z,GET,/,qatarenergylng.qa,301,via_upstream,142.202.51.34,,386,GB,
2026-03-09T21:00:18.609Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,80.76.167.222,,111392,QA,
2026-03-09T21:00:16.699Z,GET,/english,www.qatarenergylng.qa,200,via_upstream,212.77.203.83,,111431,QA,
2026-03-09T20:59:58.601Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,5.134.119.53,,110924,ES,
2026-03-09T20:59:54.532Z,GET,/english/MediaCenter/pageindex987/58/Qatargas-supplies-commissioning-LNG-cargo-to-IndiaÃƒÂƒÃ‚Â¢ÃƒÂ‚Ã¢Â‚Â¬ÃƒÂ‚Ã¢Â„Â¢s-Dhamra-terminal,www.qatarenergylng.qa,200,via_upstream,114.119.143.210,,178371,SG,
2026-03-09T20:59:52.343Z,GET,/,www.qatarenergylng.qa,301,via_upstream,5.134.119.53,,1780,ES,
2026-03-09T20:59:36.840Z,GET,/Portals/0/DNNGalleryPro/uploads/2024/12/10/ThePioneer166EN-AR_doublespread.pdf,www.qatarenergylng.qa,200,http2.remote_reset,20.215.220.220,,9646,PL,
2026-03-09T20:58:44.067Z,GET,/,qatarenergylng.qa,301,via_upstream,20.169.78.148,,386,US,
2026-03-10T01:01:42.358Z,GET,/Portals/0/DNNGalleryPro/uploads/2024/3/18/ThePioneer-SpecialEdition2015_2.pdf,www.qatarenergylng.qa,206,via_upstream,39.96.186.39,,2961395,CN,
2026-03-10T01:01:40.940Z,GET,/Portals/0/DNNGalleryPro/uploads/2024/3/18/ThePioneer-SpecialEdition2015_2.pdf,www.qatarenergylng.qa,200,via_upstream,39.96.186.39,,6107753,CN,
2026-03-10T01:01:35.071Z,GET,/english/MediaCenter/pageindex987/9/QatargasÃƒÂƒÃ‚Â¢ÃƒÂ‚Ã¢Â‚Â¬ÃƒÂ‚Ã¢Â„Â¢-Operations-Group-completes-two-years-and-30-million-man-hours-without-LTI,www.qatarenergylng.qa,200,via_upstream,114.119.143.210,,178847,SG,
2026-03-10T01:01:21.424Z,GET,/_layouts/15/NewCo/Images/logo.png,www.qatarenergylng.qa,404,via_upstream,205.220.72.175,,928,MY,
2026-03-10T01:01:20.437Z,GET,/english/,www.qatarenergylng.qa,200,via_upstream,23.106.60.83,,110985,GB,
2026-03-10T01:01:18.454Z,GET,/,www.qatarenergylng.qa,301,via_upstream,23.106.60.83,,1781,GB,
2026-03-10T01:01:16.749Z,GET,/,qatarenergylng.qa,301,via_upstream,23.106.60.83,,387,GB,
2026-03-10T01:00:54.634Z,GET,/Portals/0/xBlog/uploads/2024/3/19/BeihaiFirstCall.jpeg,www.qatarenergylng.qa,200,via_upstream,37.210.47.95,,43142,QA,
2026-03-10T01:00:52.796Z,GET,/Portals/0/ThemePluginPro/uploads/2024/4/17/LNGimage61 (2).jpg,www.qatarenergylng.qa,200,via_upstream,178.153.194.98,,79678,QA,
2026-03-10T01:00:51.768Z,GET,/Portals/0/xBlog/uploads/2024/3/25/NorthField.jpg,www.qatarenergylng.qa,200,via_upstream,178.153.194.98,,95450,QA,
2026-03-10T01:00:51.597Z,GET,/Portals/0/xBlog/uploads/2024/3/19/Aldafna-1.jpg,www.qatarenergylng.qa,200,via_upstream,37.210.47.95,,62565,QA,
